Date,Bronx,Brooklyn,Citywide,Manhattan,Queens,Staten Island,(blank),Grand Total
8/30/13,,1,,1,1,,,3
9/2/13,,,,,1,1,,2
9/3/13,,,,1,,1,,2
9/4/13,,,,,1,1,,2
9/5/13,,1,,2,,,,3
9/6/13,,,,2,,,,2
9/7/13,,1,,,,,,1
9/8/13,,1,,,,,,1
9/9/13,2,2,,1,2,,,7
9/10/13,,,,1,,,,1
9/11/13,1,,,3,,,,4
9/12/13,,1,,1,,1,,3
9/14/13,,1,,,1,2,,4
9/16/13,,1,,3,,,,4
9/17/13,1,,,,1,1,,3
9/18/13,,,,1,,1,,2
9/19/13,,1,,1,,,,2
9/20/13,2,,,1,,,,3
9/21/13,,,,1,,,,1
9/23/13,,1,,,,1,,2
9/24/13,,,,3,1,,,4
9/25/13,,2,,1,,,,3
9/26/13,,1,,3,,,,4
9/27/13,,1,,,,,,1
9/29/13,,,,2,,,,2
9/30/13,,,,1,,1,,2
10/1/13,,1,,2,1,,,4
10/2/13,,,,2,,,,2
10/3/13,,,,,1,,,1
10/4/13,1,1,,2,,,,4
10/6/13,,,,1,,,,1
10/7/13,,,,2,,,,2
10/8/13,,1,,,,,,1
10/10/13,,,,1,1,,,2
10/11/13,,2,,1,,,,3
10/12/13,,,,,1,1,,2
10/13/13,,1,,,,,,1
10/15/13,,,,1,,,,1
10/16/13,,1,,,,,,1
10/18/13,,,1,,,,,1
10/20/13,,,,,1,,,1
10/21/13,,,,1,,,,1
10/22/13,,1,,1,2,,,4
10/23/13,2,1,,1,,,,4
10/24/13,,,,,1,,,1
10/25/13,1,,,1,1,,,3
10/27/13,1,,,,,,,1
10/28/13,,1,,,1,,,2
10/29/13,,,,1,,,,1
10/30/13,,,,1,,,,1
10/31/13,,,,2,1,,,3
11/1/13,,,,1,,,,1
11/2/13,,,,1,1,,,2
11/3/13,,,,1,1,,,2
11/4/13,,1,,2,,,,3
11/5/13,,,,1,,,,1
11/6/13,,,,,,1,,1
11/7/13,1,,,,2,,,3
11/8/13,,2,,,,,,2
11/9/13,1,,,1,1,,,3
11/10/13,,,,2,,,,2
11/11/13,1,,,1,,,,2
11/12/13,1,,,1,1,,,3
11/13/13,,1,,1,1,1,,4
11/14/13,1,,,2,,,,3
11/15/13,,2,,2,1,,,5
11/16/13,,,,1,,,,1
11/18/13,1,,,1,,,,2
11/19/13,,2,,1,1,1,,5
11/20/13,1,,,,2,,,3
11/21/13,,1,1,1,1,,,4
11/22/13,,3,,,,,,3
11/23/13,,1,,1,,1,,3
11/24/13,,2,,2,1,,,5
11/25/13,,,,1,,1,,2
11/26/13,,,,1,,,,1
11/27/13,2,,,1,,,,3
11/28/13,1,1,,,,,,2
11/29/13,,1,,,1,,,2
12/1/13,2,,,,,,,2
12/2/13,,1,,,,,,1
12/3/13,,1,1,,,,,2
12/4/13,,,,3,,,,3
12/5/13,,1,,,,,,1
12/6/13,,,,2,,,,2
12/7/13,,,,1,,1,,2
12/8/13,,,,1,,,,1
12/9/13,,,,1,,,,1
12/10/13,,1,,1,1,,,3
12/11/13,,,,1,1,,,2
12/12/13,,,,1,,,,1
12/13/13,1,1,,2,,1,,5
12/14/13,,1,,1,,,,2
12/15/13,,,,1,,,,1
12/16/13,,,,2,,,,2
12/17/13,,4,,1,1,,,6
12/18/13,1,1,,2,1,,,5
12/19/13,,1,,2,2,1,,6
12/20/13,,1,,4,2,,,7
12/21/13,,1,,,1,,,2
12/22/13,,,,2,,,,2
12/23/13,,1,,1,1,,,3
12/25/13,,2,,1,,,,3
12/26/13,,,,1,1,1,,3
12/27/13,,,,1,,,,1
12/29/13,,,,1,1,,,2
12/30/13,1,1,,,,,,2
12/31/13,,,,3,,,,3
1/1/14,1,,,,1,,,2
1/2/14,1,,,1,,,,2
1/3/14,3,,,2,,,,5
1/4/14,1,2,,3,,,,6
1/5/14,,1,,3,1,1,,6
1/6/14,,1,,4,2,,,7
1/7/14,2,3,,1,1,,,7
